epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3135.24,1.52004,1.02926,1.30367,0.68879,0.69525,0.74549,0.43246,1.57039,0.98757,1.35143,0.005842,0.005842,0.005842
44,3206,1.52299,1.02367,1.29853,0.68858,0.70292,0.75185,0.43569,1.56873,0.97566,1.35328,0.005743,0.005743,0.005743
45,3277.02,1.50989,1.00966,1.29699,0.69866,0.6983,0.75535,0.43901,1.57073,0.97087,1.34974,0.005644,0.005644,0.005644
46,3348.02,1.50686,1.01598,1.28925,0.69817,0.70296,0.754,0.43452,1.57114,0.96922,1.3422,0.005545,0.005545,0.005545
47,3418.68,1.50193,1.00435,1.29102,0.68764,0.71426,0.7531,0.44027,1.5625,0.97299,1.34274,0.005446,0.005446,0.005446
48,3489.65,1.50368,1.00848,1.29153,0.68199,0.72194,0.7549,0.43717,1.57765,0.96525,1.34699,0.005347,0.005347,0.005347
49,3560.44,1.4999,1.00555,1.29056,0.69888,0.70575,0.75521,0.44064,1.5633,0.96673,1.33803,0.005248,0.005248,0.005248
50,3631.41,1.50065,0.99734,1.28573,0.69531,0.72628,0.75989,0.44185,1.57144,0.96081,1.3368,0.005149,0.005149,0.005149
51,3702.45,1.49206,0.99358,1.28125,0.68941,0.71483,0.75522,0.43776,1.56817,0.96275,1.34183,0.00505,0.00505,0.00505
52,3773.14,1.50025,0.99491,1.28795,0.69043,0.72164,0.75926,0.44286,1.56507,0.95917,1.33966,0.004951,0.004951,0.004951
53,3844.17,1.49119,0.98322,1.27834,0.68948,0.7285,0.76021,0.44252,1.56632,0.95621,1.33484,0.004852,0.004852,0.004852
54,3914.85,1.49082,0.9859,1.2806,0.70862,0.70194,0.75866,0.44295,1.56173,0.95323,1.33577,0.004753,0.004753,0.004753
55,3985.9,1.47686,0.97824,1.27362,0.68934,0.72422,0.76207,0.44613,1.56214,0.95117,1.33492,0.004654,0.004654,0.004654
56,4056.97,1.48836,0.9809,1.27547,0.6892,0.71577,0.75964,0.44701,1.56093,0.94902,1.33375,0.004555,0.004555,0.004555
57,4128.06,1.48045,0.97221,1.27569,0.69413,0.71943,0.7617,0.44451,1.56366,0.94792,1.33659,0.004456,0.004456,0.004456
58,4198.78,1.4829,0.97232,1.27297,0.69724,0.7259,0.75822,0.44479,1.56006,0.94646,1.33534,0.004357,0.004357,0.004357
59,4269.51,1.48357,0.97295,1.27074,0.69925,0.72049,0.76348,0.44931,1.56103,0.94034,1.33249,0.004258,0.004258,0.004258
60,4340.56,1.48049,0.96465,1.26626,0.69763,0.72774,0.76219,0.44732,1.56217,0.94271,1.32957,0.004159,0.004159,0.004159
61,4411.35,1.47192,0.96377,1.26534,0.69107,0.72866,0.76123,0.44833,1.55371,0.94398,1.32774,0.00406,0.00406,0.00406
62,4482.02,1.47691,0.95858,1.26796,0.69849,0.72642,0.76392,0.44878,1.55611,0.93806,1.32658,0.003961,0.003961,0.003961
63,4552.69,1.46696,0.96092,1.26513,0.70634,0.71966,0.76428,0.44998,1.555,0.93683,1.32314,0.003862,0.003862,0.003862
64,4623.68,1.46691,0.95618,1.26023,0.71055,0.72562,0.7666,0.4507,1.55514,0.93282,1.31937,0.003763,0.003763,0.003763
65,4694.7,1.46917,0.94999,1.26245,0.70205,0.7215,0.76264,0.45013,1.55552,0.93235,1.32275,0.003664,0.003664,0.003664
66,4765.33,1.45861,0.94744,1.25989,0.69839,0.7272,0.76579,0.45114,1.55249,0.93354,1.32424,0.003565,0.003565,0.003565
67,4836.44,1.4618,0.94581,1.25835,0.68861,0.73439,0.76493,0.45065,1.5527,0.92904,1.32592,0.003466,0.003466,0.003466
68,4907.16,1.45491,0.93958,1.25984,0.69801,0.72395,0.76337,0.45009,1.54992,0.93191,1.32348,0.003367,0.003367,0.003367
69,4977.84,1.44577,0.9338,1.2534,0.69622,0.72619,0.7629,0.44936,1.55445,0.92903,1.32061,0.003268,0.003268,0.003268
70,5048.49,1.45352,0.92934,1.25584,0.68985,0.72676,0.76242,0.4498,1.55241,0.92694,1.32314,0.003169,0.003169,0.003169
71,5119.14,1.44064,0.93275,1.2511,0.68955,0.73849,0.76395,0.4517,1.54968,0.92676,1.32047,0.00307,0.00307,0.00307
72,5190.21,1.45088,0.93831,1.24765,0.69671,0.72634,0.76615,0.45209,1.55105,0.92592,1.32196,0.002971,0.002971,0.002971
73,5261.25,1.44643,0.92584,1.25327,0.69992,0.73243,0.76812,0.45222,1.55129,0.92278,1.32231,0.002872,0.002872,0.002872
74,5332.28,1.45012,0.92773,1.25711,0.70828,0.72085,0.77028,0.45433,1.55207,0.91921,1.32394,0.002773,0.002773,0.002773
75,5403.31,1.43861,0.91879,1.24702,0.71182,0.72419,0.76993,0.45399,1.5503,0.9193,1.32075,0.002674,0.002674,0.002674
76,5473.97,1.43553,0.9138,1.24652,0.6973,0.73454,0.76688,0.45133,1.5515,0.9199,1.32038,0.002575,0.002575,0.002575
77,5544.69,1.44429,0.92066,1.24575,0.6961,0.73681,0.76753,0.45375,1.55101,0.91901,1.31795,0.002476,0.002476,0.002476
78,5615.35,1.42686,0.9133,1.24171,0.69044,0.73204,0.76586,0.45356,1.54885,0.92017,1.31757,0.002377,0.002377,0.002377
79,5685.98,1.43568,0.919,1.24561,0.69873,0.72965,0.76743,0.45361,1.54975,0.91851,1.32036,0.002278,0.002278,0.002278
80,5756.68,1.43392,0.90893,1.24234,0.69426,0.73579,0.76762,0.4533,1.5495,0.91821,1.32071,0.002179,0.002179,0.002179
81,5827.34,1.42957,0.90459,1.24068,0.6932,0.73553,0.76831,0.45333,1.55143,0.91863,1.32012,0.00208,0.00208,0.00208
82,5898.07,1.43172,0.9054,1.23697,0.69797,0.73946,0.76882,0.4542,1.55152,0.91666,1.31743,0.001981,0.001981,0.001981
83,5968.71,1.42745,0.90014,1.23801,0.69427,0.74081,0.76965,0.45319,1.55255,0.91729,1.31848,0.001882,0.001882,0.001882
84,6039.39,1.42263,0.90071,1.23829,0.70894,0.73016,0.77027,0.45373,1.55308,0.91638,1.3202,0.001783,0.001783,0.001783
85,6110.02,1.42023,0.89682,1.23713,0.7081,0.73518,0.77132,0.45551,1.55238,0.9142,1.31826,0.001684,0.001684,0.001684
86,6181.03,1.40917,0.88735,1.23267,0.70222,0.73676,0.77054,0.45585,1.55118,0.9144,1.31834,0.001585,0.001585,0.001585
87,6251.98,1.40951,0.89166,1.2306,0.69012,0.74406,0.7697,0.45518,1.54993,0.91487,1.3182,0.001486,0.001486,0.001486
88,6322.64,1.40387,0.88749,1.22349,0.69341,0.74266,0.77023,0.45573,1.55147,0.91332,1.3177,0.001387,0.001387,0.001387
89,6393.32,1.40908,0.88137,1.22737,0.69585,0.74037,0.77029,0.45516,1.55189,0.91238,1.31675,0.001288,0.001288,0.001288
90,6463.99,1.40243,0.88468,1.2257,0.68953,0.74106,0.76869,0.45463,1.55213,0.91429,1.3166,0.001189,0.001189,0.001189
91,6534.4,1.46811,0.86867,1.26634,0.69028,0.73752,0.76657,0.45296,1.55262,0.91438,1.31761,0.00109,0.00109,0.00109
92,6604.53,1.46189,0.86228,1.26201,0.68877,0.74023,0.76558,0.4529,1.55361,0.91346,1.31879,0.000991,0.000991,0.000991
93,6674.68,1.45562,0.8586,1.2608,0.69125,0.73849,0.76656,0.4529,1.55481,0.91277,1.31938,0.000892,0.000892,0.000892
94,6744.8,1.45518,0.85826,1.25873,0.68931,0.73857,0.76654,0.45248,1.55592,0.91324,1.32007,0.000793,0.000793,0.000793
95,6814.93,1.45232,0.85355,1.25942,0.68914,0.73791,0.7662,0.45218,1.55585,0.91427,1.32127,0.000694,0.000694,0.000694
96,6885.07,1.44913,0.84884,1.25993,0.68952,0.73795,0.76633,0.45279,1.55579,0.91395,1.3218,0.000595,0.000595,0.000595
97,6955.19,1.44768,0.84698,1.25643,0.69156,0.73636,0.76611,0.45264,1.55615,0.91328,1.32187,0.000496,0.000496,0.000496
98,7025.28,1.44386,0.84277,1.25156,0.69223,0.73653,0.76612,0.45262,1.55584,0.91256,1.3219,0.000397,0.000397,0.000397
99,7095.44,1.44144,0.84502,1.25146,0.69031,0.7377,0.76593,0.45297,1.55514,0.91226,1.32172,0.000298,0.000298,0.000298
100,7165.56,1.43867,0.83984,1.25427,0.69105,0.73654,0.76518,0.45258,1.55551,0.91272,1.32194,0.000199,0.000199,0.000199
